# Angle [deg]	Magnitude [dB]
-9.000000000000000000e+01	-3.877562822103779183e+01
-8.990000000000000568e+01	-3.877444513544185156e+01
-8.980000000000001137e+01	-3.877089686723753914e+01
-8.970000000000001705e+01	-3.876498637947894110e+01
-8.960000000000002274e+01	-3.875671860161651239e+01
-8.950000000000002842e+01	-3.874610041609940936e+01
-8.940000000000003411e+01	-3.873314063971871235e+01
-8.930000000000003979e+01	-3.871784999980962283e+01
-8.920000000000004547e+01	-3.870024110543560880e+01
-8.910000000000005116e+01	-3.868032841373143782e+01
-8.900000000000005684e+01	-3.865812819158356461e+01
-8.890000000000006253e+01	-3.863365847285906085e+01
-8.880000000000006821e+01	-3.860693901141982565e+01
-8.870000000000007390e+01	-3.857799123018813248e+01
-8.860000000000007958e+01	-3.854683816650945971e+01
-8.850000000000008527e+01	-3.851350441412211723e+01
-8.840000000000009095e+01	-3.847801606202222047e+01
-8.830000000000009663e+01	-3.844040063053342493e+01
-8.820000000000010232e+01	-3.840068700490657250e+01
-8.810000000000010800e+01	-3.835890536675707096e+01
-8.800000000000011369e+01	-3.831508712367431713e+01
-8.790000000000011937e+01	-3.826926483733178941e+01
-8.780000000000012506e+01	-3.822147215039421297e+01
-8.770000000000013074e+01	-3.817174371257919319e+01
-8.760000000000013642e+01	-3.812011510614592424e+01
-8.750000000000014211e+01	-3.806662277113123594e+01
-8.740000000000014779e+01	-3.801130393062655344e+01
-8.730000000000015348e+01	-3.795419651636512270e+01
-8.720000000000015916e+01	-3.789533909489141905e+01
-8.710000000000016485e+01	-3.783477079456759640e+01
-8.700000000000017053e+01	-3.777253123364070575e+01
-8.690000000000017621e+01	-3.770866044960941821e+01
-8.680000000000018190e+01	-3.764319883007755152e+01
-8.670000000000018758e+01	-3.757618704527885711e+01
-8.660000000000019327e+01	-3.750766598246090666e+01
-8.650000000000019895e+01	-3.743767668224968048e+01
-8.640000000000020464e+01	-3.736626027715171716e+01
-8.630000000000021032e+01	-3.729345793229458650e+01
-8.620000000000021600e+01	-3.721931078850828101e+01
-8.610000000000022169e+01	-3.714385990782453462e+01
-8.600000000000022737e+01	-3.706714622147210036e+01
-8.590000000000023306e+01	-3.698921048039566983e+01
-8.580000000000023874e+01	-3.691009320835451035e+01
-8.570000000000024443e+01	-3.682983465760675301e+01
-8.560000000000025011e+01	-3.674847476719757111e+01
-8.550000000000025580e+01	-3.666605312383728688e+01
-8.540000000000026148e+01	-3.658260892536102915e+01
-8.530000000000026716e+01	-3.649818094673856450e+01
-8.520000000000027285e+01	-3.641280750860330073e+01
-8.510000000000027853e+01	-3.632652644824600685e+01
-8.500000000000028422e+01	-3.623937509303664228e+01
-8.490000000000028990e+01	-3.615139023620017866e+01
-8.480000000000029559e+01	-3.606260811489039497e+01
-8.470000000000030127e+01	-3.597306439048706750e+01
-8.460000000000030695e+01	-3.588279413104412185e+01
-8.450000000000031264e+01	-3.579183179580927288e+01
-8.440000000000031832e+01	-3.570021122173629635e+01
-8.430000000000032401e+01	-3.560796561190215925e+01
-8.420000000000032969e+01	-3.551512752574956977e+01
-8.410000000000033538e+01	-3.542172887106503509e+01
-8.400000000000034106e+01	-3.532780089760544939e+01
-8.390000000000034674e+01	-3.523337419229089562e+01
-8.380000000000035243e+01	-3.513847867587448093e+01
-8.370000000000035811e+01	-3.504314360100217840e+01
-8.360000000000036380e+01	-3.494739755158370542e+01
-8.350000000000036948e+01	-3.485126844338684293e+01
-8.340000000000037517e+01	-3.475478352577724905e+01
-8.330000000000038085e+01	-3.465796938452226073e+01
-8.320000000000038654e+01	-3.456085194558625062e+01
-8.310000000000039222e+01	-3.446345647984060179e+01
-8.300000000000039790e+01	-3.436580760860946526e+01
-8.290000000000040359e+01	-3.426792931000258591e+01
-8.280000000000040927e+01	-3.416984492593818601e+01
