Angle (°)	Magnitude (dB)
10	-68
15	-64
20	-66
30	-65
35	-66
40	-65
45	-67
55	-65
57.5	-64
60	-63
62.5	-62
65	-61
67.5	-61
70	-63
72.5	-60
75	-60
77.5	-61
80	-58
82.5	-58
85	-57
90	-58
92.5	-57
95	-58
100	-57
102.5	-60
105	-62
107.5	-59
110	-61
112.5	-61
115	-62
117.5	-61
120	-63
125	-62
127.5	-63
130	-62
135	-64
140	-65
150	-68
155	-66
160	-65
170	-68
