# Angle [deg]	Magnitude [dB]
-9.000000000000000000e+01	-5.058174911146632269e+01
-8.990000000000000568e+01	-5.057892764563074195e+01
-8.980000000000001137e+01	-5.057046876187961715e+01
-8.970000000000001705e+01	-5.055638896572919094e+01
-8.960000000000002274e+01	-5.053671564772061231e+01
-8.950000000000002842e+01	-5.051148690711505651e+01
-8.940000000000003411e+01	-5.048075130841921521e+01
-8.930000000000003979e+01	-5.044456757397777835e+01
-8.920000000000004547e+01	-5.040300421667802766e+01
-8.910000000000005116e+01	-5.035613911753116412e+01
-8.900000000000005684e+01	-5.030405905347950579e+01
-8.890000000000006253e+01	-5.024685918129701179e+01
-8.880000000000006821e+01	-5.018464248378499803e+01
-8.870000000000007390e+01	-5.011751918475592049e+01
-8.860000000000007958e+01	-5.004560613938961922e+01
-8.850000000000008527e+01	-4.996902620655119165e+01
-8.840000000000009095e+01	-4.988790760959503956e+01
-8.830000000000009663e+01	-4.980238329190297009e+01
-8.820000000000010232e+01	-4.971259027317578472e+01
-8.810000000000010800e+01	-4.961866901207241654e+01
-8.800000000000011369e+01	-4.952076278037218060e+01
-8.790000000000011937e+01	-4.941901705332917771e+01
-8.780000000000012506e+01	-4.931357892038660395e+01
-8.770000000000013074e+01	-4.920459651985217420e+01
-8.760000000000013642e+01	-4.909221850057303271e+01
-8.750000000000014211e+01	-4.897659351313815534e+01
-8.740000000000014779e+01	-4.885786973252636756e+01
-8.730000000000015348e+01	-4.873619441368142446e+01
-8.720000000000015916e+01	-4.861171348094732281e+01
-8.710000000000016485e+01	-4.848457115186232613e+01
-8.700000000000017053e+01	-4.835490959542888589e+01
-8.690000000000017621e+01	-4.822286862454993894e+01
-8.680000000000018190e+01	-4.808858542204176700e+01
-8.670000000000018758e+01	-4.795219429934420674e+01
-8.660000000000019327e+01	-4.781382648678483349e+01
-8.650000000000019895e+01	-4.767360995408181168e+01
-8.640000000000020464e+01	-4.753166925962247547e+01
-8.630000000000021032e+01	-4.738812542689409923e+01
-8.620000000000021600e+01	-4.724309584640831616e+01
-8.610000000000022169e+01	-4.709669420136340534e+01
-8.600000000000022737e+01	-4.694903041530682941e+01
-8.590000000000023306e+01	-4.680021061999659793e+01
-8.580000000000023874e+01	-4.665033714175766733e+01
-8.570000000000024443e+01	-4.649950850458878193e+01
-8.560000000000025011e+01	-4.634781944837919099e+01
-8.550000000000025580e+01	-4.619536096063267649e+01
-8.540000000000026148e+01	-4.604222032018313371e+01
-8.530000000000026716e+01	-4.588848115143989759e+01
-8.520000000000027285e+01	-4.573422348782408164e+01
-8.510000000000027853e+01	-4.557952384309948712e+01
-8.500000000000028422e+01	-4.542445528943400035e+01
-8.490000000000028990e+01	-4.526908754107402189e+01
-8.480000000000029559e+01	-4.511348704264011644e+01
-8.470000000000030127e+01	-4.495771706110489419e+01
-8.460000000000030695e+01	-4.480183778062243505e+01
-8.450000000000031264e+01	-4.464590639944402994e+01
-8.440000000000031832e+01	-4.448997722823133927e+01
-8.430000000000032401e+01	-4.433410178915828936e+01
-8.420000000000032969e+01	-4.417832891525210925e+01
-8.410000000000033538e+01	-4.402270484949001172e+01
-8.400000000000034106e+01	-4.386727334323043692e+01
-8.390000000000034674e+01	-4.371207575360238451e+01
-8.380000000000035243e+01	-4.355715113954170192e+01
-8.370000000000035811e+01	-4.340253635619330908e+01
-8.360000000000036380e+01	-4.324826614745183662e+01
-8.350000000000036948e+01	-4.309437323644375795e+01
-8.340000000000037517e+01	-4.294088841379530663e+01
-8.330000000000038085e+01	-4.278784062355823892e+01
-8.320000000000038654e+01	-4.263525704668645488e+01
-8.310000000000039222e+01	-4.248316318200075870e+01
-8.300000000000039790e+01	-4.233158292457910932e+01
-8.290000000000040359e+01	-4.218053864153881705e+01
-8.280000000000040927e+01	-4.203005124520505831e+01
-8.270000000000041496e+01	-4.188014026365119946e+01
-8.260000000000042064e+01	-4.173082390863076796e+01
-8.250000000000042633e+01	-4.158211914092700567e+01
-8.240000000000043201e+01	-4.143404173314465311e+01
-8.230000000000043769e+01	-4.128660632999114455e+01
-8.220000000000044338e+01	-4.113982650609724345e+01
-8.210000000000044906e+01	-4.099371482142345968e+01
-8.200000000000045475e+01	-4.084828287432090121e+01
-8.190000000000046043e+01	-4.070354135229860049e+01
-8.180000000000046612e+01	-4.055950008057141787e+01
-8.170000000000047180e+01	-4.041616806845190268e+01
-8.160000000000047748e+01	-4.027355355365239120e+01
-8.150000000000048317e+01	-4.013166404457460601e+01
-8.140000000000048885e+01	-3.999050636064762188e+01
-8.130000000000049454e+01	-3.985008667079563338e+01
-8.120000000000050022e+01	-3.971041053009310673e+01
-8.110000000000050591e+01	-3.957148291468780599e+01
-8.100000000000051159e+01	-3.943330825505262993e+01
-8.090000000000051728e+01	-3.929589046763560845e+01
-8.080000000000052296e+01	-3.915923298497690297e+01
-8.070000000000052864e+01	-3.902333878435199921e+01
-8.060000000000053433e+01	-3.888821041500663256e+01
-8.050000000000054001e+01	-3.875385002404635770e+01
-8.040000000000054570e+01	-3.862025938103541023e+01
-8.030000000000055138e+01	-3.848743990136409820e+01
-8.020000000000055707e+01	-3.835539266844403983e+01
-8.010000000000056275e+01	-3.822411845477922299e+01
-8.000000000000056843e+01	-3.809361774196542427e+01
-7.990000000000057412e+01	-3.796389073967218053e+01
-7.980000000000057980e+01	-3.783493740365101132e+01
-7.970000000000058549e+01	-3.770675745281559443e+01
-7.960000000000059117e+01	-3.757935038544172102e+01
-7.950000000000059686e+01	-3.745271549452589710e+01
-7.940000000000060254e+01	-3.732685188234503926e+01
-7.930000000000060822e+01	-3.720175847425467452e+01
-7.920000000000061391e+01	-3.707743403176499442e+01
-7.910000000000061959e+01	-3.695387716492849250e+01
-7.900000000000062528e+01	-3.683108634407319926e+01
-7.890000000000063096e+01	-3.670905991091563436e+01
-7.880000000000063665e+01	-3.658779608908277226e+01
-7.870000000000064233e+01	-3.646729299407282099e+01
-7.860000000000064801e+01	-3.634754864268478514e+01
-7.850000000000065370e+01	-3.622856096194047382e+01
-7.840000000000065938e+01	-3.611032779752870425e+01
