Angle (°)	Magnitude (dB)
10	-56
15	-58
20	-56
25	-54
30	-56
35	-57
40	-56
45	-56
50	-55
55	-53
57.5	-55
60	-54
62.5	-53
65	-52
67.5	-53
70	-50
72.5	-50
75	-48
77.5	-46
80	-45
85	-47
87.5	-46
90	-47
92.5	-48
95	-47
97.5	-46
100	-45
102.5	-46
105	-48
107.5	-47
110	-48
112.5	-52
115	-54
120	-53
122.5	-55
125	-54
127.5	-54
130	-54
135	-57
140	-51
145	-57
155	-54
160	-57
165	-58
170	-57
