# Angle [deg]	Magnitude [dB]
-7.570000000000081286e+01	-2.685448385175432051e+01
-7.560000000000081855e+01	-2.676233836821182877e+01
-7.550000000000082423e+01	-2.667074053154703961e+01
-7.540000000000082991e+01	-2.657969033605005649e+01
-7.530000000000083560e+01	-2.648918775787702629e+01
-7.520000000000084128e+01	-2.639923275752831344e+01
-7.510000000000084697e+01	-2.630982528222776651e+01
-7.500000000000085265e+01	-2.622096526820440232e+01
-7.490000000000085834e+01	-2.613265264288399692e+01
-7.480000000000086402e+01	-2.604488732699106990e+01
-7.470000000000086970e+01	-2.595766923656873360e+01
-7.460000000000087539e+01	-2.587099828491639641e+01
-7.450000000000088107e+01	-2.578487438445175428e+01
-7.440000000000088676e+01	-2.569929744849951092e+01
-7.430000000000089244e+01	-2.561426739300951994e+01
-7.420000000000089813e+01	-2.552978413820827797e+01
-7.410000000000090381e+01	-2.544584761018639796e+01
-7.400000000000090949e+01	-2.536245774242553708e+01
-7.390000000000091518e+01	-2.527961447726663735e+01
-7.380000000000092086e+01	-2.519731776732313833e+01
-7.370000000000092655e+01	-2.511556757684163088e+01
-7.360000000000093223e+01	-2.503436388301114590e+01
-7.350000000000093792e+01	-2.495370667722610492e+01
-7.340000000000094360e+01	-2.487359596630228253e+01
-7.330000000000094929e+01	-2.479403177365059108e+01
-7.320000000000095497e+01	-2.471501414040880107e+01
-7.310000000000096065e+01	-2.463654312653476097e+01
-7.300000000000096634e+01	-2.455861881186238094e+01
-7.290000000000097202e+01	-2.448124129712244823e+01
-7.280000000000097771e+01	-2.440441070493005071e+01
-7.270000000000098339e+01	-2.432812718074070091e+01
-7.260000000000098908e+01	-2.425239089377675938e+01
-7.250000000000099476e+01	-2.417720203792535472e+01
-7.240000000000100044e+01	-2.410256083261030824e+01
-7.230000000000100613e+01	-2.402846752363871374e+01
-7.220000000000101181e+01	-2.395492238402459151e+01
-7.210000000000101750e+01	-2.388192571478998616e+01
-7.200000000000102318e+01	-2.380947784574609472e+01
-7.190000000000102887e+01	-2.373757913625480498e+01
-7.180000000000103455e+01	-2.366622997597236377e+01
-7.170000000000104023e+01	-2.359543078557670981e+01
-7.160000000000104592e+01	-2.352518201747941262e+01
-7.150000000000105160e+01	-2.345548415652286423e+01
-7.140000000000105729e+01	-2.338633772066551586e+01
-7.130000000000106297e+01	-2.331774326165426459e+01
-7.120000000000106866e+01	-2.324970136568669332e+01
-7.110000000000107434e+01	-2.318221265406335974e+01
-7.100000000000108002e+01	-2.311527778383155862e+01
-7.090000000000108571e+01	-2.304889744842135357e+01
-7.080000000000109139e+01	-2.298307237827508587e+01
-7.070000000000109708e+01	-2.291780334147113507e+01
-7.060000000000110276e+01	-2.285309114434314637e+01
-7.050000000000110845e+01	-2.278893663209506926e+01
-7.040000000000111413e+01	-2.272534068941390473e+01
-7.030000000000111982e+01	-2.266230424108008634e+01
-7.020000000000112550e+01	-2.259982825257671379e+01
-7.010000000000113118e+01	-2.253791373069913107e+01
-7.000000000000113687e+01	-2.247656172416428788e+01
-6.990000000000114255e+01	-2.241577332422222568e+01
-6.980000000000114824e+01	-2.235554966526965615e+01
-6.970000000000115392e+01	-2.229589192546661280e+01
-6.960000000000115961e+01	-2.223680132735723092e+01
-6.950000000000116529e+01	-2.217827913849482968e+01
-6.940000000000117097e+01	-2.212032667207331826e+01
-6.930000000000117666e+01	-2.206294528756416895e+01
-6.920000000000118234e+01	-2.200613639136095756e+01
-6.910000000000118803e+01	-2.194990143743186906e+01
-6.900000000000119371e+01	-2.189424192798083624e+01
-6.890000000000119940e+01	-2.183915941411821748e+01
-6.880000000000120508e+01	-2.178465549654196565e+01
-6.870000000000121076e+01	-2.173073182622966115e+01
-6.860000000000121645e+01	-2.167739010514302578e+01
-6.850000000000122213e+01	-2.162463208694457251e+01
-6.840000000000122782e+01	-2.157245957772826372e+01
-6.830000000000123350e+01	-2.152087443676467515e+01
-6.820000000000123919e+01	-2.146987857726112736e+01
-6.810000000000124487e+01	-2.141947396713801410e+01
-6.800000000000125056e+01	-2.136966262982245723e+01
-6.790000000000125624e+01	-2.132044664505934151e+01
-6.780000000000126192e+01	-2.127182814974140967e+01
-6.770000000000126761e+01	-2.122380933875918529e+01
-6.760000000000127329e+01	-2.117639246587091861e+01
-6.750000000000127898e+01	-2.112957984459486482e+01
-6.740000000000128466e+01	-2.108337384912340795e+01
-6.730000000000129035e+01	-2.103777691526124016e+01
-6.720000000000129603e+01	-2.099279154138763914e+01
-6.710000000000130171e+01	-2.094842028944472645e+01
-6.700000000000130740e+01	-2.090466578595206215e+01
-6.690000000000131308e+01	-2.086153072304918510e+01
-6.680000000000131877e+01	-2.081901785956713269e+01
-6.670000000000132445e+01	-2.077713002212963644e+01
-6.660000000000133014e+01	-2.073587010628607885e+01
-6.650000000000133582e+01	-2.069524107767666266e+01
-6.640000000000134150e+01	-2.065524597323145173e+01
-6.630000000000134719e+01	-2.061588790240438129e+01
-6.620000000000135287e+01	-2.057717004844413111e+01
-6.610000000000135856e+01	-2.053909566970244072e+01
-6.600000000000136424e+01	-2.050166810098200187e+01
-6.590000000000136993e+01	-2.046489075492541687e+01
-6.580000000000137561e+01	-2.042876712344612855e+01
-6.570000000000138130e+01	-2.039330077920396178e+01
-6.560000000000138698e+01	-2.035849537712606150e+01
-6.550000000000139266e+01	-2.032435465597555080e+01
-6.540000000000139835e+01	-2.029088243996948648e+01
-6.530000000000140403e+01	-2.025808264044805540e+01
-6.520000000000140972e+01	-2.022595925759714675e+01
-6.510000000000141540e+01	-2.019451638222587420e+01
-6.500000000000142109e+01	-2.016375819760200727e+01
-6.490000000000142677e+01	-2.013368898134651630e+01
-6.480000000000143245e+01	-2.010431310739054211e+01
-6.470000000000143814e+01	-2.007563504799651355e+01
-6.460000000000144382e+01	-2.004765937584616964e+01
-6.450000000000144951e+01	-2.002039076619821856e+01
-6.440000000000145519e+01	-1.999383399911820902e+01
-6.430000000000146088e+01	-1.996799396178360197e+01
-6.420000000000146656e+01	-1.994287565086690961e+01
-6.410000000000147224e+01	-1.991848417500025192e+01
-6.400000000000147793e+01	-1.989482475732435418e+01
-6.390000000000148361e+01	-1.987190273812547048e+01
-6.380000000000148930e+01	-1.984972357756400996e+01
-6.370000000000149498e+01	-1.982829285849844325e+01
-6.360000000000150067e+01	-1.980761628940821595e+01
-6.350000000000150635e+01	-1.978769970742027340e+01
-6.340000000000151203e+01	-1.976854908144320788e+01
-6.330000000000151772e+01	-1.975017051541332691e+01
-6.320000000000152340e+01	-1.973257025165787937e+01
-6.310000000000152909e+01	-1.971575467438005091e+01
-6.300000000000153477e+01	-1.969973031327103641e+01
-6.290000000000154046e+01	-1.968450384725474578e+01
-6.280000000000154614e+01	-1.967008210837060744e+01
-6.270000000000155183e+01	-1.965647208580112348e+01
-6.260000000000155751e+01	-1.964368093004969751e+01
-6.250000000000156319e+01	-1.963171595727616392e+01
-6.240000000000156888e+01	-1.962058465379651295e+01
-6.230000000000157456e+01	-1.961029468075468785e+01
-6.220000000000158025e+01	-1.960085387897362352e+01
-6.210000000000158593e+01	-1.959227027399452226e+01
-6.200000000000159162e+01	-1.958455208131205794e+01
-6.190000000000159730e+01	-1.957770771181566971e+01
-6.180000000000160298e+01	-1.957174577744554966e+01
-6.170000000000160867e+01	-1.956667509707421360e+01
-6.160000000000161435e+01	-1.956250470262389385e+01
-6.150000000000162004e+01	-1.955924384543134664e+01
-6.140000000000162572e+01	-1.955690200287181568e+01
-6.130000000000163141e+01	-1.955548888525472861e+01
-6.120000000000163709e+01	-1.955501444300471547e+01
-6.110000000000164277e+01	-1.955548887414181536e+01
-6.100000000000164846e+01	-1.955692263207593840e+01
-6.090000000000165414e+01	-1.955932643373116520e+01
-6.080000000000165983e+01	-1.956271126801703275e+01
-6.070000000000166551e+01	-1.956708840466413335e+01
-6.060000000000167120e+01	-1.957246940344309749e+01
-6.050000000000167688e+01	-1.957886612378691993e+01
-6.040000000000168257e+01	-1.958629073483766447e+01
-6.030000000000168825e+01	-1.959475572594019965e+01
-6.020000000000169393e+01	-1.960427391760675064e+01
-6.010000000000169962e+01	-1.961485847297797847e+01
-6.000000000000170530e+01	-1.962652290980721048e+01
-5.990000000000171099e+01	-1.963928111299692958e+01
-5.980000000000171667e+01	-1.965314734771800431e+01
-5.970000000000172236e+01	-1.966813627314447643e+01
-5.960000000000172804e+01	-1.968426295683861582e+01
-5.950000000000173372e+01	-1.970154288982329049e+01
-5.940000000000173941e+01	-1.971999200238156646e+01
-5.930000000000174509e+01	-1.973962668062568326e+01
-5.920000000000175078e+01	-1.976046378388068803e+01
-5.910000000000175646e+01	-1.978252066293124756e+01
-5.900000000000176215e+01	-1.980581517918335521e+01
-5.890000000000176783e+01	-1.983036572479628035e+01
-5.880000000000177351e+01	-1.985619124384454537e+01
-5.870000000000177920e+01	-1.988331125457325399e+01
-5.860000000000178488e+01	-1.991174587281540909e+01
-5.850000000000179057e+01	-1.994151583664479688e+01
-5.840000000000179625e+01	-1.997264253234297016e+01
-5.830000000000180194e+01	-2.000514802176546070e+01
-5.820000000000180762e+01	-2.003905507119873874e+01
-5.810000000000181331e+01	-2.007438718180595316e+01
-5.800000000000181899e+01	-2.011116862176775655e+01
-5.790000000000182467e+01	-2.014942446023258782e+01
-5.780000000000183036e+01	-2.018918060320009289e+01
-5.770000000000183604e+01	-2.023046383147095639e+01
-5.760000000000184173e+01	-2.027330184080788200e+01
-5.750000000000184741e+01	-2.031772328446375653e+01
-5.740000000000185310e+01	-2.036375781824672160e+01
-5.730000000000185878e+01	-2.041143614830572517e+01
-5.720000000000186446e+01	-2.046079008183601644e+01
-5.710000000000187015e+01	-2.051185258092136721e+01
-5.700000000000187583e+01	-2.056465781974902995e+01
-5.690000000000188152e+01	-2.061924124545373971e+01
-5.680000000000188720e+01	-2.067563964287096923e+01
-5.670000000000189289e+01	-2.073389120350476844e+01
-5.660000000000189857e+01	-2.079403559904350018e+01
-5.650000000000190425e+01	-2.085611405978870891e+01
-5.640000000000190994e+01	-2.092016945839619524e+01
-5.630000000000191562e+01	-2.098624639936746306e+01
-5.620000000000192131e+01	-2.105439131477175607e+01
-5.610000000000192699e+01	-2.112465256672731329e+01
-5.600000000000193268e+01	-2.119708055722254514e+01
-5.590000000000193836e+01	-2.127172784591747501e+01
-5.580000000000194404e+01	-2.134864927663219802e+01
-5.570000000000194973e+01	-2.142790211330236616e+01
-5.560000000000195541e+01	-2.150954618626583326e+01
-5.550000000000196110e+01	-2.159364404983689667e+01
-5.540000000000196678e+01	-2.168026115223051775e+01
-5.530000000000197247e+01	-2.176946601901691025e+01
-5.520000000000197815e+01	-2.186133045142078757e+01
-5.510000000000198384e+01	-2.195592974093072414e+01
-5.500000000000198952e+01	-2.205334290185680146e+01
-5.490000000000199520e+01	-2.215365292366806216e+01
-5.480000000000200089e+01	-2.225694704516535438e+01
-5.470000000000200657e+01	-2.236331705279694404e+01
-5.460000000000201226e+01	-2.247285960571513996e+01
-5.450000000000201794e+01	-2.258567659050397936e+01
-5.440000000000202363e+01	-2.270187550888921635e+01
-5.430000000000202931e+01	-2.282156990218187786e+01
-5.420000000000203499e+01	-2.294487981671396426e+01
-5.410000000000204068e+01	-2.307193231511178055e+01
-5.400000000000204636e+01	-2.320286203893465071e+01
-5.390000000000205205e+01	-2.333781182900052187e+01
-5.380000000000205773e+01	-2.347693341064639583e+01
-5.370000000000206342e+01	-2.362038815225691479e+01
-5.360000000000206910e+01	-2.376834790666995190e+01
-5.350000000000207478e+01	-2.392099594657052108e+01
-5.340000000000208047e+01	-2.407852800676263172e+01
-5.330000000000208615e+01	-2.424115344831969665e+01
-5.320000000000209184e+01	-2.440909656212901879e+01
-5.310000000000209752e+01	-2.458259803235469221e+01
-5.300000000000210321e+01	-2.476191658395935491e+01
-5.290000000000210889e+01	-2.494733084278447066e+01
-5.280000000000211458e+01	-2.513914144197684664e+01
-5.270000000000212026e+01	-2.533767341498350945e+01
-5.260000000000212594e+01	-2.554327892321555993e+01
-5.250000000000213163e+01	-2.575634037617232508e+01
-5.240000000000213731e+01	-2.597727401380627299e+01
-5.230000000000214300e+01	-2.620653403582707952e+01
-5.220000000000214868e+01	-2.644461738132280360e+01
-5.210000000000215437e+01	-2.669206928561385084e+01
-5.200000000000216005e+01	-2.694948977113124755e+01
-5.190000000000216573e+01	-2.721754126729523549e+01
-5.180000000000217142e+01	-2.749695760357499097e+01
-5.170000000000217710e+01	-2.778855468383508409e+01
-5.160000000000218279e+01	-2.809324323387080113e+01
-5.150000000000218847e+01	-2.841204412493319253e+01
-5.140000000000219416e+01	-2.874610692432800363e+01
-5.130000000000219984e+01	-2.909673252463516491e+01
-5.120000000000220552e+01	-2.946540097735897490e+01
-5.110000000000221121e+01	-2.985380603692299673e+01
-5.100000000000221689e+01	-3.026389845515801014e+01
-5.090000000000222258e+01	-3.069794082888597586e+01
-5.080000000000222826e+01	-3.115857790976237851e+01
-5.070000000000223395e+01	-3.164892792143526279e+01
-5.060000000000223963e+01	-3.217270289737054156e+01
-5.050000000000224532e+01	-3.273436986245475566e+01
-5.040000000000225100e+01	-3.333937071306656463e+01
-5.030000000000225668e+01	-3.399442847684356650e+01
-5.020000000000226237e+01	-3.470798417207000597e+01
-5.010000000000226805e+01	-3.549083738096562257e+01
-5.000000000000227374e+01	-3.635711636510715294e+01
-4.990000000000227942e+01	-3.732580473965838053e+01
-4.980000000000228511e+01	-3.842325812416069652e+01
-4.970000000000229079e+01	-3.968759751130808411e+01
-4.960000000000229647e+01	-4.117695806047027673e+01
-4.950000000000230216e+01	-4.298653556220362049e+01
-4.940000000000230784e+01	-4.528882698079813451e+01
-4.930000000000231353e+01	-4.844966187364885712e+01
-4.920000000000231921e+01	-5.350244104532087874e+01
-4.910000000000232490e+01	-6.717413254643122400e+01
-4.900000000000233058e+01	-5.809859269279109384e+01
-4.890000000000233626e+01	-5.064960150105304137e+01
-4.880000000000234195e+01	-4.668662129702247654e+01
-4.870000000000234763e+01	-4.396643420545327530e+01
-4.860000000000235332e+01	-4.189133367589831636e+01
-4.850000000000235900e+01	-4.021238266809567108e+01
-4.840000000000236469e+01	-3.880178382928576042e+01
-4.830000000000237037e+01	-3.758514543986368039e+01
-4.820000000000237605e+01	-3.651533165148479299e+01
-4.810000000000238174e+01	-3.556058591528584145e+01
-4.800000000000238742e+01	-3.469849243681363049e+01
-4.790000000000239311e+01	-3.391263821015747482e+01
-4.780000000000239879e+01	-3.319064457996712747e+01
-4.770000000000240448e+01	-3.252294489209157291e+01
-4.760000000000241016e+01	-3.190199267212910783e+01
-4.750000000000241585e+01	-3.132173028096038081e+01
-4.740000000000242153e+01	-3.077722154096051099e+01
-4.730000000000242721e+01	-3.026439112609877924e+01
-4.720000000000243290e+01	-2.977983552002383050e+01
-4.710000000000243858e+01	-2.932068318059937084e+01
-4.700000000000244427e+01	-2.888448929883651672e+01
-4.690000000000244995e+01	-2.846915536462084262e+01
-4.680000000000245564e+01	-2.807286683735281230e+01
-4.670000000000246132e+01	-2.769404424128865116e+01
-4.660000000000246700e+01	-2.733130435876162423e+01
-4.650000000000247269e+01	-2.698342911827767310e+01
-4.640000000000247837e+01	-2.664934041626016992e+01
-4.630000000000248406e+01	-2.632807956429518015e+01
-4.620000000000248974e+01	-2.601879037830279984e+01
-4.610000000000249543e+01	-2.572070516174492383e+01
-4.600000000000250111e+01	-2.543313300824924283e+01
-4.590000000000250679e+01	-2.515544997788676795e+01
-4.580000000000251248e+01	-2.488709079820003112e+01
-4.570000000000251816e+01	-2.462754181460542924e+01
-4.560000000000252385e+01	-2.437633497112733139e+01
-4.550000000000252953e+01	-2.413304264596013837e+01
-4.540000000000253522e+01	-2.389727320027564872e+01
-4.530000000000254090e+01	-2.366866712531943762e+01
-4.520000000000254659e+01	-2.344689369389652356e+01
-4.510000000000255227e+01	-2.323164803910582066e+01
-4.500000000000255795e+01	-2.302264859660918006e+01
-4.490000000000256364e+01	-2.281963485754030430e+01
-4.480000000000256932e+01	-2.262236538793043650e+01
-4.470000000000257501e+01	-2.243061607767276655e+01
-4.460000000000258069e+01	-2.224417858790324587e+01
-4.450000000000258638e+01	-2.206285897049190936e+01
-4.440000000000259206e+01	-2.188647643732524983e+01
-4.430000000000259774e+01	-2.171486226036733314e+01
-4.420000000000260343e+01	-2.154785878625082773e+01
-4.410000000000260911e+01	-2.138531855145775040e+01
-4.400000000000261480e+01	-2.122710348609579611e+01
-4.390000000000262048e+01	-2.107308419591550219e+01
-4.380000000000262617e+01	-2.092313931360226675e+01
-4.370000000000263185e+01	-2.077715491155769456e+01
-4.360000000000263753e+01	-2.063502396939120942e+01
-4.350000000000264322e+01	-2.049664589020287764e+01
-4.340000000000264890e+01	-2.036192606047748299e+01
-4.330000000000265459e+01	-2.023077544904333891e+01
-4.320000000000266027e+01	-2.010311024109878986e+01
-4.310000000000266596e+01	-1.997885150378286312e+01
-4.300000000000267164e+01	-1.985792488017646917e+01
-4.290000000000267733e+01	-1.974026030898004436e+01
-4.280000000000268301e+01	-1.962579176742320541e+01
-4.270000000000268869e+01	-1.951445703523593167e+01
-4.260000000000269438e+01	-1.940619747774726989e+01
-4.250000000000270006e+01	-1.930095784638956147e+01
-4.240000000000270575e+01	-1.919868609506765722e+01
-4.230000000000271143e+01	-1.909933321101672732e+01
-4.220000000000271712e+01	-1.900285305891580379e+01
-4.210000000000272280e+01	-1.890920223714949344e+01
-4.200000000000272848e+01	-1.881833994522555997e+01
-4.190000000000273417e+01	-1.873022786145414642e+01
-4.180000000000273985e+01	-1.864483003008516704e+01
-4.170000000000274554e+01	-1.856211275717928544e+01
-4.160000000000275122e+01	-1.848204451455970343e+01
-4.150000000000275691e+01	-1.840459585125592312e+01
-4.140000000000276259e+01	-1.832973931190784356e+01
-4.130000000000276827e+01	-1.825744936165074961e+01
-4.120000000000277396e+01	-1.818770231704820262e+01
-4.110000000000277964e+01	-1.812047628268221189e+01
-4.100000000000278533e+01	-1.805575109304852077e+01
-4.090000000000279101e+01	-1.799350825943965759e+01
-4.080000000000279670e+01	-1.793373092153048987e+01
-4.070000000000280238e+01	-1.787640380340959467e+01
-4.060000000000280806e+01	-1.782151317382748701e+01
-4.050000000000281375e+01	-1.776904681045640189e+01
-4.040000000000281943e+01	-1.771899396798008297e+01
-4.030000000000282512e+01	-1.767134534985256522e+01
-4.020000000000283080e+01	-1.762609308358539550e+01
-4.010000000000283649e+01	-1.758323069944063377e+01
-4.000000000000284217e+01	-1.754275311242548341e+01
-3.990000000000284786e+01	-1.750465660750014507e+01
-3.980000000000285354e+01	-1.746893882792736363e+01
-3.970000000000285922e+01	-1.743559876670669340e+01
-3.960000000000286491e+01	-1.740463676105206758e+01
-3.950000000000287059e+01	-1.737605448988535528e+01
-3.940000000000287628e+01	-1.734985497433333279e+01
-3.930000000000288196e+01	-1.732604258122951890e+01
-3.920000000000288765e+01	-1.730462302963621823e+01
-3.910000000000289333e+01	-1.728560340041759602e+01
-3.900000000000289901e+01	-1.726899214890773138e+01
-3.890000000000290470e+01	-1.725479912073402033e+01
-3.880000000000291038e+01	-1.724303557087058181e+01
-3.870000000000291607e+01	-1.723371418601339755e+01
-3.860000000000292175e+01	-1.722684911038514244e+01
-3.850000000000292744e+01	-1.722245597509557768e+01
-3.840000000000293312e+01	-1.722055193120254302e+01
-3.830000000000293880e+01	-1.722115568663827290e+01
-3.820000000000294449e+01	-1.722428754718743704e+01
-3.810000000000295017e+01	-1.722996946172666810e+01
-3.800000000000295586e+01	-1.723822507196027942e+01
-3.790000000000296154e+01	-1.724907976691376277e+01
-3.780000000000296723e+01	-1.726256074247731220e+01
-3.770000000000297291e+01	-1.727869706632258584e+01
-3.760000000000297860e+01	-1.729751974855282270e+01
-3.750000000000298428e+01	-1.731906181848494697e+01
-3.740000000000298996e+01	-1.734335840800504513e+01
-3.730000000000299565e+01	-1.737044684198712119e+01
-3.720000000000300133e+01	-1.740036673631707487e+01
-3.710000000000300702e+01	-1.743316010412319628e+01
-3.700000000000301270e+01	-1.746887147087907977e+01
-3.690000000000301839e+01	-1.750754799911864268e+01
-3.680000000000302407e+01	-1.754923962358341782e+01
-3.670000000000302975e+01	-1.759399919771462351e+01
-3.660000000000303544e+01	-1.764188265250427889e+01
-3.650000000000304112e+01	-1.769294916883539059e+01
